id,trigger,conditions,script,text,options,notes
# SRFP greeting lines,,,,,,
greetingSRFPFriendly,OpenCommLink,"$faction.id == srfp
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""你好,$playerName 同志,愿我们一起为星际解放事业而奋斗!""
OR
""通讯已建立,哦,是大名鼎鼎的$playerName同志,今天您又处决了几个反动派?""
OR
""通讯已建立,你好,我的同志,愿{Shultze}的光芒照耀英仙座!""",,
greetingSRFPHostileWeaker,OpenCommLink,"$faction.id == srfp
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""你背叛了工人阶级,操你妈!吃我的枪子儿吧!""
OR
""如果你要摧毁我们的革命事业,那么起码你要先跨过我的尸体.""
OR
这位 社会革命阵线$personRank 看着你,叹了一口气.""我的生命可以牺牲,我的信仰决不可放弃.""",cutCommLink:切断通讯,
greetingSRFPHostileWeakerDefiant,OpenCommLink,"$faction.id == srfp
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"敌方的$personRank 看起来咬牙切齿.""为了革命事业,"" $heOrShe 说道.

""我将献出自己的一切."" $HisOrHer 的神情坚定.""{社会革命阵线}万岁!""

随后通讯链接被瞬间切断.",cutCommLink:切断通讯,
greetingSRFPHostileStronger,OpenCommLink,"$faction.id == srfp
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""奉{社会革命阵线内务部}的命令,我特来逮捕你,对了,{内务委员}没和我说要你活着见他哦.""

这位{人民海军}$personRank 一脸幸灾乐祸地退出了全息频道.
OR
""你是建设共产主义的绊脚石!""$PersonRank $personName 转身说道 ""中尉同志,这一次不能再放过他.""

通讯链接被骤然切断.
OR
""历史的车轮将碾过你们这些反动派渣滓.""
OR
这位{人民海军}$personRank 冷笑着说,""所以你是反动资产阶级,军阀的走狗还是海盗?没关系,反正我们都会给你送上前往死亡的船票.""",cutCommLink:切断通讯,
greetingSRFPNeutral,OpenCommLink,"$faction.id == srfp
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""你的身份已被确认,请保持距离,任何军事干涉行为都将被视为反革命罪行.""

这位人民海军$personRank 敷衍的说了句 ""革命万岁"" 便关闭了通讯.
OR
这位人民海军$personRank 很不耐烦.""没什么事的话我先挂了.""
OR
""已建立通讯链接.如果你有关于反动派的情报,提交给当地内务部,有机会获得奖励.""",,
,,,,,,
# FSAL greeting lines,,,,,,
greetingPirateFriendly,OpenCommLink,"$faction.id == srfpB
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""哦,我的老伙计,祝你今天也能喝上美酒!""
OR
""生活愉快,我的同志.""
OR
""♫傻逼的老古董们,朋克是不会死的!赶快滚远一点,别想控制住我们...♫""",,
greetingPirateHostileWeaker,OpenCommLink,"$faction.id == srfpB
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""您好,亲爱的舰长!欢迎来到休伯利...算了和你开玩笑的,说真的,放过我吧.""
OR
""对面的这位大人,您能去抢{社会革命阵线}的物资吗?反正他们的物资也是我们运的.""",cutCommLink:切断通讯,
